Ours,OursEfficient,PJVs,SdJWT,SdJWTEfficient
2003,1920,122,109,108
3952,2015,232,156,158
5698,2092,348,207,205
7520,2071,452,260,254
9534,2128,568,314,304
11312,2204,686,356,351
13322,2239,813,412,396
15122,2371,952,459,443
16910,2330,1110,530,489
18946,2391,1285,580,543
