Ours,OursEfficient,PJVs,SdJWT,SdJWTEfficient
10357,10231,118,118,114
18657,9433,223,168,161
25257,8509,334,212,209
29591,7660,453,260,258
32863,6730,572,320,304
33809,5893,698,359,352
32857,5015,814,404,405
30198,4092,952,452,445
25511,3228,1098,497,500
18993,2412,1303,547,560
