Ours,OursEfficient,PJVs,SdJWT,SdJWTEfficient
50,50,88,51,50
53,50,91,54,50
53,51,96,56,53
55,52,101,58,53
57,53,112,60,52
58,54,121,62,52
59,55,135,64,54
63,56,154,65,54
61,57,180,66,55
60,58,215,68,56
