Ours,OursEfficient,PJVs,SdJWT,SdJWTEfficient
1835,1846,986,2452,2452
2606,2063,2052,3215,2667
3255,2282,3468,3918,2883
3782,2500,5350,4559,3099
4186,2719,7851,5139,3315
4467,2938,11180,5658,3531
4626,3156,15612,6115,3747
4662,3375,21515,6511,3963
4575,3594,29379,6846,4179
4367,3814,39859,7120,4396
