Ours,OursEfficient,PJVs,SdJWT,SdJWTEfficient
10081,10098,123,117,113
20113,10302,226,167,162
30055,10264,332,221,212
40114,10331,446,274,270
50235,10320,563,313,322
60164,10396,685,364,374
71242,10463,831,417,425
81620,10590,997,481,455
91114,10675,1149,518,520
100528,10620,1289,568,578
