Ours,OursEfficient,PJVs,SdJWT,SdJWTEfficient
48,48,89,49,51
51,49,96,52,52
54,50,98,55,53
60,52,107,58,55
63,56,115,61,54
65,56,127,64,55
70,57,136,67,58
73,59,157,70,59
77,60,186,77,58
80,61,228,80,59
