Ours,OursEfficient,PJVs,SdJWT,SdJWTEfficient
61,57,217,59,55
62,55,214,61,57
69,57,222,62,58
65,57,221,65,59
71,59,225,68,59
71,59,219,68,60
69,57,226,72,60
75,58,226,75,61
76,59,230,75,61
75,58,229,79,61
