Ours,OursEfficient,PJVs,SdJWT,SdJWTEfficient
50,45,89,48,49
48,47,94,51,49
49,48,99,54,51
53,51,105,56,52
55,50,115,58,53
56,53,126,61,54
58,54,143,64,55
59,55,162,67,57
61,55,190,71,56
63,56,228,74,57
