Ours,OursEfficient,PJVs,SdJWT,SdJWTEfficient
797,763,42,35,35
785,32,109,33,34
779,32,108,33,33
784,32,111,35,33
855,33,116,34,34
810,33,122,35,34
806,34,129,36,34
805,33,140,37,35
799,34,154,38,35
793,34,172,40,34
