Ours,OursEfficient,PJVs,SdJWT,SdJWTEfficient
791,766,43,34,35
772,32,102,31,33
775,32,106,33,33
780,32,107,33,33
789,33,114,35,34
793,34,122,35,33
803,34,125,37,33
815,34,134,37,35
815,34,147,40,34
817,35,175,42,34
