Ours,OursEfficient,PJVs,SdJWT,SdJWTEfficient
678,33,167,35,33
676,32,164,36,34
706,32,168,36,34
699,32,168,36,34
729,34,171,39,35
753,34,169,38,35
736,33,171,39,35
781,33,171,40,35
761,33,172,39,35
795,33,172,41,35
