Ours,OursEfficient,PJVs,SdJWT,SdJWTEfficient
4367,3814,37654,4360,3844
5030,3924,37991,5084,4016
5692,4035,38332,5808,4188
6355,4146,38647,6532,4360
7018,4256,38990,7256,4532
7680,4367,39327,7980,4704
8343,4478,39659,8704,4876
9006,4588,39996,9428,5048
9668,4699,40336,10152,5220
10331,4810,40668,10876,5392
