Ours,OursEfficient,PJVs,SdJWT,SdJWTEfficient
804,768,42,35,34
790,33,101,33,32
764,33,103,34,32
737,33,106,35,33
726,33,110,35,33
722,33,116,35,33
704,33,123,36,33
708,33,132,37,33
699,34,146,37,33
680,34,162,38,33
