Ours,OursEfficient,PJVs,SdJWT,SdJWTEfficient
1835,1846,986,2452,2452
2778,2174,2059,3387,2778
3722,2503,3491,4323,3104
4666,2832,5400,5259,3431
5610,3162,7946,6195,3758
6554,3491,11339,7131,4084
7498,3820,15864,8067,4411
8442,4150,21898,9003,4738
9386,4479,29942,9939,5064
10331,4810,40668,10876,5392
