Ours,OursEfficient,PJVs,SdJWT,SdJWTEfficient
18917,2455,1298,563,562
27790,3428,1313,566,561
36791,4378,1310,560,548
45736,5249,1314,558,549
55009,6252,1287,559,555
64246,7057,1309,562,553
74233,7934,1296,571,555
82528,9145,1313,584,558
92274,9841,1305,589,564
102207,10765,1338,577,579
